BENIDORM CHESS OPEN B Sub-2000 2025;;;;;;;;;;;;;;
Benidorm, 2025-10-26 - 2025-11-02;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Clasificación;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;BH/C1;BH;REP;WIN;BPG;APPO;FIDE;Origen/Club;Info
39;64;;Gonzalez Gorriz, Javier;ESP;5,5;43.0;46.5;9;4;5;1806;1826;Montserrat;CVH
40;61;;Meler Tevar, Sergio;ESP;5,5;43.0;46.0;9;5;4;1818;1836;Chaturanga;CV
41;35;;Roca Cruz, Rafael;ESP;5,5;42.5;46.0;9;4;5;1784;1895;Motilla Alzira;CVH
42;47;;Martinez De Soria Gordon, Jose M;ESP;5,5;41.5;44.5;9;5;5;1822;1871;Rey Ardid Bilbao;H
43;71;;Geyler, Stefan, Dr.;GER;5,5;41.5;44.5;9;4;4;1806;1804;Alemania;H
44;16;;Moya Albaladejo, Jose Antonio;ESP;5,5;41.0;46.5;8;4;4;1810;1943;Mar Menor;H
45;10;;Megias Chafer, Alejandro;ESP;5,5;40.5;43.5;9;5;5;1776;1959;Xàtiva;CVH
46;26;;Pajuelo Morales, Raul;ESP;5,5;40.0;45.5;8;5;4;1835;1919;Vallecas Villa;H
47;55;;Calero Aguilar, Eufrasio;ESP;5,5;39.5;45.0;8;4;4;1820;1849;Cambrils;H
48;34;;Moreno Cervera, Jose Luis;ESP;5,5;38.0;41.5;9;4;4;1771;1896;Oliva;CV
49;19;;Persson Bogdanovic, Nils Oskar;ESP;5,0;51.5;56.0;9;5;5;1994;1934;Enric Valor;CV
50;79;;Hoifodt, Jakob Salen;NOR;5,0;46.0;49.0;9;4;5;1845;1785;Noruega;H
51;11;;Camison Zornoza, Cesar;ESP;5,0;44.5;47.5;9;4;5;1792;1957;Fast Carlet;CVH
52;44;;Salter, David;IRL;5,0;44.0;49.0;8;4;4;1867;1883;Phibsboro;H
53;165;;Bakhuijzen, Nathan;NED;5,0;43.0;47.0;9;5;4;1733;0;Holanda;H
54;103;;Albrigtsen, Tord;NOR;5,0;43.0;45.0;9;4;4;1765;1717;Noruega;H
55;168;;Burguero Barrachina, Eduardo Man;ESP;5,0;42.0;47.0;8;3;4;1770;0;Valencia;CVH
56;2;;Alonso Rodriguez, Tristan;ESP;5,0;42.0;46.0;9;4;5;1817;1996;Padrón;H
57;50;;Rios Torondell, Jaume;ESP;5,0;41.0;45.0;9;4;4;1826;1863;Calldetenes;H
58;133;;Heggelund, Aksel Flesjo;NOR;5,0;41.0;45.0;9;3;5;1737;1614;Noruega;H
59;93;;Pelyushenko, Vladyslav;ITA;5,0;41.0;44.0;9;5;5;1784;1747;Italia;H
60;43;;Garcia Claros, Salvador;ESP;5,0;40.0;43.5;9;4;5;1777;1885;Trebejos;H
61;91;;Forsberg, Mikael;SWE;5,0;39.5;42.5;9;4;5;1747;1751;Suecia;H
62;106;;Cidoncha Garcia, Miguel Angel;ESP;5,0;38.5;43.5;8;4;4;1726;1713;Gambito Benimaclet;CVH
63;84;;Mulet Salva, Jeroni;ESP;5,0;38.0;41.0;9;4;4;1697;1775;Xàbia;CV
64;69;;Lopez Heras, Arturo;ESP;5,0;37.5;40.5;9;5;5;1736;1807;La Didáctica;H
65;77;;Valarezzo Ricard, Pedro;ESP;5,0;37.0;38.5;9;4;5;1688;1792;Castelldefels;H
66;111;;Kudryavtsev, Nikita;FID;5,0;36.5;38.5;9;4;4;1636;1686;Fide;H
67;68;;Alonso Jimenez, Jaime;ESP;5,0;36.0;41.0;8;4;4;1712;1809;La Vila;CV
68;86;;Planelles Ortega, Emilio;ESP;5,0;35.0;38.0;9;5;4;1728;1765;Ateneo Elx;CV
69;95;;Huzela, Lukyan;UKR;5,0;35.0;37.0;9;5;4;1667;1732;Ucrania;H
70;97;;Minguela Munoz, Bienvenido;ESP;5,0;34.0;37.0;9;5;4;1653;1731;Alcobendas;H
71;82;;Urios Hernandez, Ramon;ESP;5,0;33.0;38.0;7;4;3;1689;1779;Burjassot;CV
72;60;;Picornell Morant, Jose Enrique;ESP;5,0;32.5;37.5;8;3;4;1667;1837;Xeraco;CVH
73;78;;Nieto Lopez, Francisco Ramon;ESP;5,0;29.5;31.5;9;5;4;1582;1790;Ateneo Albacetense;H
74;37;;Rios Garcia, Miguel;ESP;4,5;42.5;47.0;8;4;4;1834;1890;Riba-roja;CVH
75;33;;Jara Segovia, Jesus Javier;VEN;4,5;42.5;46.0;9;4;5;1804;1897;Venezuela;H
76;30;;Marquez Bernal, Florencio;ESP;4,5;42.0;45.5;9;4;4;1793;1912;Chaturanga Arriate;H
77;90;;Engvik, Kim Andre;NOR;4,5;40.0;42.5;9;4;4;1740;1754;Noruega;H
78;170;;Endresen, Svein;NOR;4,5;39.5;43.5;9;3;5;1666;0;Noruega;
79;109;;Ruud, Mikael;NOR;4,5;39.0;42.0;9;4;4;1736;1690;Noruega;H
80;81;;Parreno Banuls, Raul;ESP;4,5;38.5;41.0;9;3;5;1709;1782;Montserrat;CVH
81;87;;Lopez Fraga, Vicente;ESP;4,5;37.5;40.5;9;4;5;1691;1759;Grupo Bazán;H
82;127;;Sigvaldsen, Sebastian;NOR;4,5;37.0;40.5;9;3;4;1700;1634;Noruega;H
83;105;;Wadhwani, Sunil;ESP;4,5;36.5;40.0;9;4;4;1723;1717;Metro Club;H
84;94;;Soler Nadal, Jose Antonio;ESP;4,5;36.0;40.5;8;3;4;1706;1741;Xeraco;CVH
85;115;;Stoica, Melina-Theodora;ROU;4,5;36.0;37.0;9;3;4;1594;1673;Rumania;H
86;58;;Fuentes Arjona, Antonio;ESP;4,5;35.0;38.0;9;4;4;1737;1842;Mostoles;H
87;80;;Karlsson, Bengt-Ake;SWE;4,5;35.0;36.5;9;4;4;1659;1785;Suecia;H
88;119;;Calero Ganso, Ruben;ESP;4,5;34.5;39.0;8;4;4;1670;1660;Cambrils;H
89;52;;Blasco Marques, Salvador;ESP;4,5;34.0;38.5;8;3;4;1682;1856;Motilla Alzira;CVH
90;24;;Fernandez Lopez, Fernando Javier;ESP;4,0;43.5;47.5;8;3;4;1915;1921;Chaturanga;CV
91;172;;Hernandez Soler, Joaquin;ESP;4,0;43.0;47.0;9;4;5;1751;0;Círculo Mercantil;H
92;74;;Fernandez Garcia, Ignacio;ESP;4,0;42.0;44.0;9;3;4;1806;1802;La Didáctica;H
93;112;;Traen, Oyvind Bjornevoll;NOR;4,0;42.0;43.5;9;4;5;1698;1682;Noruega;H
94;51;;Ruiz Ureta, Ernesto;ESP;4,0;41.0;43.5;9;3;4;1780;1858;Zamora;H
95;57;;Solbakken, Mikkel Damtoft;NOR;4,0;40.5;43.5;9;4;5;1766;1844;Noruega;H
96;139;;Anasov, Jakhongir;UZB;4,0;40.0;44.0;8;3;4;1723;1578;Uzbekistán;H
97;101;;Garcia Santiago, Juan Carlos;ESP;4,0;39.5;43.5;8;3;4;1794;1721;Ajedrez con Cabeza;H
98;3;;Blanco Sanchez, Jose Fernando;ESP;4,0;39.0;43.0;7;3;4;1842;1993;Alcobendas;
99;145;;Morata Perez, Jose;ESP;4,0;39.0;42.0;9;4;5;1653;1562;Trebejos;H
100;54;;Antohi, Marius;IRL;4,0;39.0;42.0;9;4;4;1812;1849;Blanchardstown;H
101;129;;Almache M., Jefferson;COL;4,0;38.0;39.5;9;3;5;1685;1630;Colombia;H
102;96;;Wall, Robert;ENG;4,0;37.5;39.5;9;4;4;1674;1732;England;H
103;120;;Marin Giner, Gustavo;ESP;4,0;37.5;39.0;9;4;4;1684;1656;Xàbia;CV
104;66;;Cabrera Guerrero, Antonio;ESP;4,0;37.0;40.0;9;3;4;1763;1819;Calpe;CV
105;70;;Arugadoss, Bharath;GER;4,0;36.5;40.5;7;2;3;1753;1804;SV Koblenz;H
106;62;;Risueno Banuls, Manuel;ESP;4,0;36.0;40.0;7;3;3;1759;1833;Calpe;CV
107;75;;Alarcon Roman, Antonio;ESP;4,0;36.0;38.5;9;4;5;1707;1801;FEDC;H
108;104;;Perez Pascual, Arturo;ESP;4,0;36.0;38.5;9;4;5;1685;1717;Madrid;H
109;27;;Moreno Latorre, Francisco Jose;ESP;4,0;35.5;39.5;7;4;4;1694;1915;Ramiro Zaragoza;H
110;117;;Vegara Gallego, Pere;ESP;4,0;34.0;38.0;8;3;4;1652;1666;Taradell;H
111;114;;Kristiansen, David;NOR;4,0;34.0;37.0;9;4;4;1675;1677;Noruega;H
112;126;;Garcia Martin, Juan Manuel;ESP;4,0;34.0;35.5;9;4;4;1629;1635;Gambito de Guada;H
113;73;;Caparros Fernandez, Xavier;ESP;4,0;33.0;36.0;9;3;4;1636;1802;Martorell;H
114;132;;Riera Mestres, Josep;ESP;4,0;32.5;35.5;9;3;4;1613;1616;Tona;H
115;100;;Rincon Martin, Santiago;ESP;4,0;32.0;36.0;8;3;4;1656;1725;FEDC;H
116;107;;Staneke, Ronald;ESP;4,0;29.5;33.5;8;3;4;1602;1713;Calpe;CV
117;67;;Corcoran, Gary;ENG;4,0;24.0;28.0;8;3;4;1510;1813;Bradford;H
118;83;;Calonge Fabregat, Miquel;ESP;3,5;38.5;42.0;8;3;4;1766;1778;Tarragona;H
119;108;;Becerra Izquierdo, Juan Carlos;ESP;3,5;36.5;40.0;6;3;3;1720;1708;Tomelloso;H
120;124;;Fernandez Zaldivar, Antonio Manu;ESP;3,5;36.5;39.5;9;3;4;1723;1642;FEDC;H
121;113;;Casadevall Mainau, Iraida;ESP;3,5;36.0;38.5;9;2;4;1708;1677;FEDC;H
122;89;;Guillen Montiel, Jose Luis;ESP;3,5;35.0;38.5;8;3;4;1678;1756;Chaturanga;CV
123;42;;Lopez Capape, Armando;ESP;3,5;35.0;38.5;7;1;3;1751;1886;Ramiro Zaragoza;H
124;167;;Bobrov, Davyd;UKR;3,5;33.5;36.5;9;3;5;1533;0;Ucrania;H
125;138;;Bigi, Francesco;ITA;3,5;33.5;35.5;9;3;4;1612;1581;Italia;H
126;92;;Granholm, Johan;SWE;3,5;33.0;36.5;8;3;4;1675;1751;Kalltorp;H
127;178;;Webb, Christopher George;ENG;3,5;31.0;34.5;8;2;4;1558;0;Dorchester;H
128;152;;Crespillo Pareja, Fabian;ESP;3,5;31.0;33.5;9;3;5;1566;1511;La Axarquía;H
129;123;;Martinez Torres, Jose Manuel;ESP;3,5;30.5;34.0;7;1;4;1590;1645;FEDC;CVH
130;128;;Garcia Artal, Obdulio;ESP;3,5;30.0;33.5;8;3;4;1587;1633;Ramiro Zaragoza;H
131;154;;Alarcon Alarcon, Marina;ESP;3,5;30.0;33.5;8;2;4;1549;1484;FEDC;H
132;164;;Alonso Rodriguez, Escarlata;ESP;3,5;28.0;29.5;9;2;4;1482;0;Padrón;H
133;85;;Pichel Jallas, Juan Jose;ESP;3,5;25.5;29.0;8;3;4;1516;1766;FEDC;H
134;136;;Garcia Nunez, Helena;ESP;3,0;38.5;42.5;9;2;4;1731;1605;Oberena;H
135;135;;Escude De Jesus, Kevin;ESP;3,0;36.0;39.0;7;2;3;1700;1612;Barad;H
136;155;;Penarrubia Gil, Aitor;ESP;3,0;34.5;37.5;7;2;4;1697;1478;Chessngo;CVH
137;156;;Heggelund, Iben Sofia;NOR;3,0;33.5;37.5;9;3;4;1636;1474;Noruega;H
138;49;;Fernandez Lopez, Francisco J.;ESP;3,0;33.0;36.0;7;3;4;1711;1863;Chaturanga;CV
139;143;;Candelas Megia, David;ESP;3,0;32.5;35.5;9;2;5;1551;1569;Monteolivete;CVH
140;160;;Pangua Bedia, Andoni;ESP;3,0;32.5;35.5;8;2;4;1607;1455;Dama de Guardamar;CVH
141;146;;Denisenko, Andrei;FID;3,0;32.5;34.5;9;3;5;1517;1550;Xàbia;CV
142;177;;Ulla Centelles, Llorens;ESP;3,0;31.5;34.5;9;3;4;1452;0;Montserrat;CVH
143;149;;Padilla Martinez, Alvaro;ESP;3,0;30.0;31.0;9;3;4;1497;1535;Granada;H
144;151;;Iglesias Estrada, Jesus;ESP;3,0;29.5;32.5;8;3;4;1553;1516;FEDC;H
145;153;;Mena Lena, Antonio;ESP;3,0;29.0;32.0;5;1;3;1603;1510;FEDC;H
146;144;;Masedo Gomez, Manuel;ESP;3,0;29.0;30.5;9;3;4;1523;1567;FEDC;H
147;162;;Mukhtasimov, Omar;UZB;3,0;27.0;28.5;9;2;4;1484;1439;Uzbekistán;H
148;130;;Jarebo, Carl-Gustaf;SWE;3,0;26.5;29.5;7;1;4;1552;1630;SS Manhem;H
149;98;;Gomez Barcelona, Jose Luis;ESP;3,0;26.5;28.5;9;3;4;1580;1729;Palacio de Pioneros;H
150;158;;Millan Ibanez, Cesar Jesus;ESP;3,0;25.5;28.5;8;3;4;1399;1465;Sant Joan d'Alacant;CV
151;121;;Almquist, Rutger;SWE;3,0;24.0;27.0;7;1;4;1518;1650;Suecia;H
152;134;;Verhoeven, Rudiger;ESP;2,5;33.5;36.0;7;1;4;1656;1613;Shahmat Sanlúcar;H
153;137;;Friberg, Sam;SWE;2,5;32.5;35.0;8;1;4;1621;1603;SS Manhem;H
154;125;;Embuena Molina, Miguel Angel;ESP;2,5;32.0;34.5;7;2;4;1648;1636;Valencia;CVH
155;147;;Carrascosa Grau, Eduard;ESP;2,5;31.5;34.0;8;0;4;1583;1546;Primitiva de Xàtiva;CVH
156;39;;Villaverde Ruiz, Felix;ESP;2,5;31.5;34.0;4;2;2;1925;1888;Vilafranca;H
157;122;;Gonzalez Caceres, Lauren;ESP;2,5;30.5;33.0;6;1;3;1608;1645;Sant Joan d'Alacant;CV
158;131;;Galera Serra, Maria;AND;2,5;29.5;32.0;6;1;3;1608;1628;GEVA-CEA;H
159;142;;Taquet, Eric;ESP;2,5;28.0;30.5;6;1;3;1562;1570;Independiente;CV
160;173;;Horcajada Guerrero, Nahia;ESP;2,5;26.5;29.0;8;2;4;1438;0;Valdesva;H
161;148;;Jimenez Mahillo, David;ESP;2,5;25.0;27.5;7;2;3;1475;1535;FEDC;H
162;163;;Munoz Martinez, Francisco;ESP;2,0;37.0;40.0;9;2;5;1632;1401;Ateneo Elx;CV
163;150;;Genis Traveria, Ferran;ESP;2,0;31.5;33.0;9;1;5;1544;1530;Vic;H
164;59;;Albuixech Sanz, Jorge;ESP;2,0;31.0;33.0;6;1;3;1745;1838;Xàtiva;CVH
165;140;;Brauer, Claes;SWE;2,0;28.5;30.5;8;1;4;1512;1573;SS Manhem;H
166;159;;Fiengo, Lorenzo;ITA;2,0;25.0;26.5;9;2;4;1436;1459;Italia;H
167;141;;Kushnir, Demyan;UKR;2,0;24.5;26.5;8;2;4;1459;1573;Ucrania;H
168;166;;Banuls Sanchez, Isabel;ESP;1,5;30.5;32.5;9;1;4;1551;0;Montserrat;H
169;157;;Florit Florit, Fernando;ESP;1,5;30.5;32.5;9;1;4;1539;1473;Penya Alfil Baleares;H
170;174;;Marroquin Mayhua, Silvia Margari;ESP;1,5;23.5;25.0;7;0;3;1325;0;FEDC;H
171;161;;Galletero Monsalve, Juan Francis;ESP;1,0;28.0;29.0;8;0;4;1528;1448;FEDC;CVH
172;169;;Duncan, William;NZL;0,5;4.0;4.5;0;0;0;0;0;Nueva Zelanda;H
173;12;;Rutherford, William;SCO;0,0;0.0;0.0;0;0;0;0;1957;Escocia;H
174;76;;Quiros Florea, Rafael-Santiago;ESP;0,0;0.0;0.0;0;0;0;0;1798;Diagonal Alcorcón;H
175;102;;Hinojosa Jimenez, Jose Maria;ESP;0,0;0.0;0.0;0;0;0;0;1718;Escola Padrón;H
176;110;;Rogers, Adam;BEL;0,0;0.0;0.0;0;0;0;0;1687;Bélgica;H
177;118;;Ramirez Portillo, Marco Antonio;COL;0,0;0.0;0.0;0;0;0;0;1665;Colombia;H
178;175;;Perez Segura, Victor;ESP;0,0;0.0;0.0;0;0;0;0;0;La Vila;CVH
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BENIDORM CHESS OPEN B Sub-2000 2025 - https://info64.org/benidorm-chess-open-b-sub-2000-2025;;;;;;;;;;;;;;
