BENIDORM CHESS OPEN B Sub-2000 2025;;;;;;;
Benidorm, 2025-10-26 - 2025-11-02;;;;;;;
;;;;;;;
Ranking inicial;;;;;;;
Ran.;Tít.;Nombre;Fed.;FIDE;FIDE ID;Origen/Club;Info
87;;Lopez Fraga, Vicente;ESP;1759;24545309;Grupo Bazán;P
88;;Spionkowski, Fabian;POL;1758;21874735;PZSZACH;PH
89;;Guillen Montiel, Jose Luis;ESP;1756;2282097;Chaturanga;PCV
90;;Engvik, Kim Andre;NOR;1754;1566938;Noruega;PH
91;;Forsberg, Mikael;SWE;1751;1706004;Suecia;P
92;;Granholm, Johan;SWE;1751;1708732;Kalltorp;PH
93;;Pelyushenko, Vladyslav;ITA;1747;805963;Italia;PH
94;;Soler Nadal, Jose Antonio;ESP;1741;2294729;Xeraco;PHCV
95;;Huzela, Lukyan;UKR;1732;34180079;Ucrania;P
96;;Wall, Robert;ENG;1732;343407234;England;P
97;;Minguela Munoz, Bienvenido;ESP;1731;2282143;Alcobendas;PH
98;;Gomez Barcelona, Jose Luis;ESP;1729;22215247;Palacio de Pioneros;PH
99;;Nilsen, Truls Fredin;NOR;1727;1579835;Noruega;PH
100;;Rincon Martin, Santiago;ESP;1725;2286890;FEDC;H
101;;Garcia Santiago, Juan Carlos;ESP;1721;54744296;Ajedrez con Cabeza;P
102;;Hinojosa Jimenez, Jose Maria;ESP;1718;54790905;Escola Padrón;PH
103;;Albrigtsen, Tord;NOR;1717;1566920;Noruega;PH
104;;Perez Pascual, Arturo;ESP;1717;2253062;Madrid;H
105;;Wadhwani, Sunil;ESP;1717;54504937;Metro Club;PH
106;;Cidoncha Garcia, Miguel Angel;ESP;1713;535019247;Gambito Benimaclet;PHCV
107;;Staneke, Ronald;ESP;1713;54524865;Calpe;PCV
108;;Becerra Izquierdo, Juan Carlos;ESP;1708;54731925;Tomelloso;PH
109;;Ruud, Mikael;NOR;1690;1569643;Noruega;PH
110;;Rogers, Adam;BEL;1687;294489;Bélgica;H
111;;Kudryavtsev, Nikita;FID;1686;55843492;Fide;PH
112;;Traen, Oyvind Bjornevoll;NOR;1682;1578405;Noruega;PH
113;;Casadevall Mainau, Iraida;ESP;1677;54543142;FEDC;P
114;;Kristiansen, David;NOR;1677;1572083;Noruega;PH
115;;Stoica, Melina-Theodora;ROU;1673;42214912;Rumania;P
116;;Valiente Zabalza, Daniel;ESP;1673;523055774;La Vila;PCV
117;;Vegara Gallego, Pere;ESP;1666;2271770;Taradell;PH
118;;Ramirez Portillo, Marco Antonio;COL;1665;4481003;Colombia;H
119;;Calero Ganso, Ruben;ESP;1660;94719039;Cambrils;H
120;;Marin Giner, Gustavo;ESP;1656;54745411;Xàbia;PCV
121;;Almquist, Rutger;SWE;1650;1727435;Suecia;P
122;;Gonzalez Caceres, Lauren;ESP;1645;54718228;Sant Joan d'Alacant;PCV
123;;Martinez Torres, Jose Manuel;ESP;1645;2246660;FEDC;PHCV
124;;Fernandez Zaldivar, Antonio Manu;ESP;1642;54782813;FEDC;PH
125;;Embuena Molina, Miguel Angel;ESP;1636;54745128;Valencia;PHCV
126;;Garcia Martin, Juan Manuel;ESP;1635;2221780;Gambito de Guada;P
127;;Sigvaldsen, Sebastian;NOR;1634;1569660;Noruega;PH
128;;Garcia Artal, Obdulio;ESP;1633;22222863;Ramiro Zaragoza;PH
129;;Almache M., Jefferson;COL;1630;144444397;Colombia;PH
130;;Jarebo, Carl-Gustaf;SWE;1630;1722964;SS Manhem;PH
131;;Galera Serra, Maria;AND;1628;6900283;GEVA-CEA;PH
132;;Riera Mestres, Josep;ESP;1616;22256709;Tona;PH
133;;Heggelund, Aksel Flesjo;NOR;1614;1584740;Noruega;PH
134;;Verhoeven, Rudiger;ESP;1613;24563013;Shahmat Sanlúcar;PH
135;;Escude De Jesus, Kevin;ESP;1612;523078340;Barad;FH
136;;Garcia Nunez, Helena;ESP;1605;54781469;Oberena;P
137;;Friberg, Sam;SWE;1603;1726498;SS Manhem;PH
138;;Bigi, Francesco;ITA;1581;23480998;Italia;MPH
139;;Anasov, Jakhongir;UZB;1578;14218119;Uzbekistán;PH
140;;Brauer, Claes;SWE;1573;1727559;SS Manhem;PH
141;;Kushnir, Demyan;UKR;1573;34106588;Ucrania;PH
142;;Taquet, Eric;ESP;1570;24521370;Independiente;MPCV
143;;Candelas Megia, David;ESP;1569;553002261;Monteolivete;PHCV
144;;Masedo Gomez, Manuel;ESP;1567;535096560;FEDC;PH
145;;Morata Perez, Jose;ESP;1562;24521612;Trebejos;PH
146;;Denisenko, Andrei;FID;1550;522087036;Xàbia;PCV
147;;Carrascosa Grau, Eduard;ESP;1546;94715858;Primitiva de Xàtiva;PHCV
148;;Jimenez Mahillo, David;ESP;1535;22208151;FEDC;H
149;;Padilla Martinez, Alvaro;ESP;1535;535099410;Granada;MPH
150;;Genis Traveria, Ferran;ESP;1530;24519707;Vic;PH
151;;Iglesias Estrada, Jesus;ESP;1516;32010567;FEDC;PH
152;;Crespillo Pareja, Fabian;ESP;1511;535067748;La Axarquía;PH
153;;Mena Lena, Antonio;ESP;1510;32010583;FEDC;H
154;;Alarcon Alarcon, Marina;ESP;1484;32010516;FEDC;H
155;;Penarrubia Gil, Aitor;ESP;1478;535032952;Chessngo;PHCV
156;;Heggelund, Iben Sofia;NOR;1474;1574728;Noruega;MPH
157;;Florit Florit, Fernando;ESP;1473;54713927;Penya Alfil Baleares;PH
158;;Millan Ibanez, Cesar Jesus;ESP;1465;523008318;Sant Joan d'Alacant;PCV
159;;Fiengo, Lorenzo;ITA;1459;23481030;Italia;MPH
160;;Pangua Bedia, Andoni;ESP;1455;54566150;Dama de Guardamar;PHCV
161;;Galletero Monsalve, Juan Francis;ESP;1448;22281398;FEDC;PHCV
162;;Mukhtasimov, Omar;UZB;1439;14249057;Uzbekistán;P
163;;Munoz Martinez, Francisco;ESP;1401;24594482;Ateneo Elx;PCV
164;;Alonso Rodriguez, Escarlata;ESP;0;54524806;Padrón;FP
165;;Bakhuijzen, Nathan;NED;0;40112918;Holanda;PH
166;;Banuls Sanchez, Isabel;ESP;0;24529664;Montserrat;PH
167;;Bobrov, Davyd;UKR;0;34165959;Ucrania;PH
168;;Burguero Barrachina, Eduardo Man;ESP;0;553003438;Valencia;PHCV
169;;Duncan, William;NZL;0;4308280;Nueva Zelanda;H
170;;Endresen, Svein;NOR;0;1584618;Noruega;P
171;;Grigoryev, Valery;ESP;0;535066164;Calpe;PCV
172;;Hernandez Soler, Joaquin;ESP;0;553001362;Círculo Mercantil;P
173;;Horcajada Guerrero, Nahia;ESP;0;535034726;Valdesva;PH
174;;Marroquin Mayhua, Silvia Margari;ESP;0;54790000;FEDC;H
175;;Perez Segura, Victor;ESP;0;535098350;La Vila;PHCV
176;;Redmond, Pete;ENG;0;424560;Ilkley Chess Centre;PH
177;;Ulla Centelles, Llorens;ESP;0;24541087;Montserrat;PHCV
178;;Webb, Christopher George;ENG;0;343480349;Dorchester;PH
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
BENIDORM CHESS OPEN B Sub-2000 2025 - https://info64.org/benidorm-chess-open-b-sub-2000-2025;;;;;;;
