BENIDORM CHESS OPEN B Sub-2000 2024,,,,,,,
"Benidorm, 2024-10-27 - 2024-11-03",,,,,,,
,,,,,,,
Ranking inicial   ,,,,,,,
Ran.,Tít.,Nombre,Fed.,FIDE,FIDE ID,Origen/Club,Info
111,,"Morata Perez, Jose",ESP,1632,24521612,Trebejos,PH
112,,"Mulet Salva, Jeroni",ESP,1629,94714606,Xabia,PCV
113,,"Proudfoot, Andy",ENG,1625,487910,Reino Unido,PH
114,,"Casadevall Mainau, Iraida",ESP,1617,54543142,FEDC,H
115,,"Gonzalez Caceres, Lauren",ESP,1607,54718228,Alicante,PCV
116,,"Arana Rodriguez, Marlon Uriel",ESP,1604,94772452,Alfaz del Pi,PCV
117,,"Fernandez Arrizabalaga, Raul",ESP,1590,22244700,FEDC Valdesva,PH
118,,"Ding, Yicheng",ENG,1582,483087,Beckenham,PH
119,,"Kushnir, Demyan",UKR,1578,34106588,Lviv Chess Academy,PH
120,,"Nettleton, Robin",ENG,1572,422789,Reino Unido,PH
121,,"Prieto Iniguez, Diego",ESP,1572,523084006,Independiente,PCV
122,,"Jimenez Mahillo, David",ESP,1566,22208151,FEDC ONCE Madrid,H
123,,"Mabras Lloret, Monserrat",ESP,1558,32018347,Andreu Paterna,PHCV
124,,"Yanston, Kseniia",ESP,1554,55634184,Alicante,PCV
125,,"Alarcon Alarcon, Marina",ESP,1539,32010516,FEDC ONCE Barcelona,PH
126,,"Iglesias Estrada, Jesus",ESP,1532,32010567,FEDC,PH
127,,"Torrelles Perez, Josep",ESP,1522,94735069,Montserrat,PHCV
128,,"Genis Traveria, Ferran",ESP,1520,24519707,Vic,PH
129,,"Millan Ibanez, Cesar Jesus",ESP,1520,523008318,Alicante,PCV
130,,"Mena Lena, Antonio",ESP,1506,32010583,FEDC Cibeles Mérida,H
131,,"Silvestre Margos, Manuel",ESP,1494,54534542,Montserrat,PHCV
132,,"Carrascosa Grau, Eduard",ESP,1486,94715858,Almussafes,PHCV
133,,"Alameda Ibanez, Jose Antonio",ESP,1475,94741212,FEDC,PH
134,,"Llorente Quintero, Adrian",ESP,1468,94796246,Montserrat,PHCV
135,,"Ulla Centelles, Llorens",ESP,1457,24541087,Montserrat,PHCV
136,,"Penades Chuluunpurev, Marco",ESP,1451,523009667,Basilio,PCV
137,,"Llorente Quintero, Sara",ESP,1450,94735050,Montserrat,PHCV
138,,"Montilla Bejarano, Carmen",ESP,1450,32049463,FEDC,H
139,,"Villar Ramos-Izquierdo, Maria Do",ESP,1443,94759162,Xabia,PHCV
140,,"Gersemann, Olaf",GER,1440,34605215,Alemania,PH
141,,"Munoz Martinez, Francisco",ESP,1430,24594482,Ateneo Elx,PCV
142,,"Kindts, Christelle",BEL,1424,264350,KGSRL Gent,P
143,,"Ledesma Ledesma, Jose Ignacio",ESP,1419,54546281,FEDC Portugalete,PH
144,,"Galletero Monsalve, Juan Francis",ESP,1403,22281398,FEDC Torrefiel,PHCV
145,,"Avetisyan, Vachagan",ARM,0,13326651,Armenia,PH
146,,"Becerra Izquierdo, Juan Carlos",ESP,0,54731925,Tomelloso,PH
147,,"Denisenko, Andrei",FID,0,522087036,Xabia,P
148,,"Ding, Jie",CHN,0,8609705,China,PH
149,,"Ding, Yihua",ENG,0,495999,Beckenham,PH
150,,"Hustad, Espen Sandoy",NOR,0,1589199,Noruega,PH
151,,"Lin, Hung-Chu",TPE,0,16305370,Taiwán,PH
152,,"Marcos Rey, Roberto",ESP,0,523096969,FEDC,H
153,,"Martinez Navarro, Francisco Javi",ESP,0,523067438,El Rey,H
154,,"Martinez Perez, Isaac",ESP,0,535022019,Alonis,PCV
155,,"Torrelles Garcia, Jose Emilio",ESP,0,94782539,Montserrat,PHCV
156,,"Utrera Alba, Juan Luis",ESP,0,535017554,Ateneo Elx,HCV
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
BENIDORM CHESS OPEN B Sub-2000 2024 - https://info64.org/benidorm-chess-open-b-sub-2000-2024,,,,,,,
