BENIDORM CHESS OPEN “B” (U2000);;;;;;;;;;;;;;
Benidorm, Alicante, Spain, 2022-12-03 - 2022-12-11;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Clasificación   ;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;DirE;APRO;BucM;ARO.;Mwns;MBlk;FIDE;Nac.;Origen/Club
30;85;;Suriya S V;IND;5,5;0.0;1593.0;32.0;1813.6;4;5;1455;0;
31;23;;Diez Viera, Oscar;ESP;5,5;0.0;1582.7;29.0;1486.7;4;4;1858;1852;País Vasco
32;37;;Pedraza Fernandez, Miguel Angel;ESP;5,0;0.0;1798.0;36.5;1748.6;5;4;1785;1799;Comunidad Valenciana
33;32;;Skielnik, Joseph J;ENG;5,0;0.0;1759.9;32.5;1625.7;3;5;1797;0;
34;9;;Urena Casacuberta, Lluis;ESP;5,0;0.0;1758.7;36.5;1714.1;4;4;1917;1948;Cataluña
35;11;;Millward, Kevin P;ENG;5,0;0.0;1751.2;38.0;1666.9;4;4;1911;0;
36;47;;Hushpit, Lukian;UKR;5,0;0.0;1723.7;33.5;1677.3;5;4;1717;0;
37;36;;Gukasov, Artem;ESP;5,0;0.0;1720.9;35.0;1817.1;3;5;1788;1795;Comunidad Valenciana
38;79;;Swapna C N;IND;5,0;0.0;1697.3;39.5;1871.2;4;5;1481;0;
39;60;;Muratova, Anel;KAZ;5,0;0.0;1663.6;35.0;1801.7;4;4;1669;0;
40;86;;Rincon Martin, Santiago;ESP;5,0;0.0;1632.6;33.0;1792.4;4;3;1454;1476;FEDC
41;70;;Medina Sanchez, Gines;ESP;5,0;0.0;1614.4;28.0;1551.9;5;4;1556;1622;Canarias
42;67;;Sudharsan Gurukrishnan;IND;5,0;0.0;1611.1;32.5;1742.8;4;4;1586;0;
43;46;;Gomez Fernandez, Fulgencio;ESP;5,0;0.0;1585.8;33.5;1620.1;4;5;1727;1752;País Vasco
44;64;;Nechifor, David;ESP;5,0;0.0;1557.6;29.5;1587.9;4;5;1613;1621;Comunidad Valenciana
45;58;;Minguela Munoz, Bienvenido;ESP;5,0;0.0;1528.7;25.5;1465.6;5;4;1683;1723;Madrid
46;19;;Martin Martin, Luis Vicente;ESP;4,5;0.0;1780.4;36.5;1687.0;3;4;1886;1938;Madrid
47;30;;Ingham, H William;ENG;4,5;0.0;1775.9;37.0;1552.9;4;4;1833;0;
48;15;;Spanton, Tim R;ENG;4,5;0.0;1771.1;38.0;1741.2;3;4;1895;0;
49;31;;Rios Garcia, Miguel;ESP;4,5;0.0;1769.7;38.5;1753.8;3;5;1829;1846;Comunidad Valenciana
50;27;;Williams, Duncan;WLS;4,5;0.0;1735.4;33.0;1517.4;4;4;1838;0;
51;34;;Engelaer, Maurice;BEL;4,5;0.0;1731.7;32.0;1544.6;3;4;1790;0;
52;6;;Cluyts, Marc;BEL;4,5;0.0;1729.8;33.0;1673.0;3;5;1923;0;
53;54;;Aird, Ian;SCO;4,5;0.0;1710.3;33.5;1488.1;2;4;1698;0;
54;39;;Kane, Robert;ENG;4,5;0.0;1686.4;35.0;1755.6;4;4;1773;0;
55;57;;De Luna Butz, Alberto;ESP;4,5;0.0;1656.7;33.5;1685.3;3;5;1685;1726;Madrid
56;5;;Ruiz Ureta, Ernesto;ESP;4,5;0.0;1651.7;30.0;1655.4;4;4;1929;1965;Castilla y León
57;38;;Mallevaey, Armand;FRA;4,5;0.0;1608.6;28.0;1520.9;4;5;1780;0;
58;44;;Ballina Amandi, Casimiro;ESP;4,5;0.0;1595.0;31.5;1600.6;4;4;1748;1756;
59;51;;Bergara Ede, Josu;ESP;4,5;0.0;1587.9;30.0;1617.4;4;4;1713;1819;País Vasco
60;73;;Valenzuela Garcia, Alberto;ESP;4,5;0.0;1563.8;31.5;1628.1;4;5;1503;0;Comunidad Valenciana
61;112;;Ojassvini Thiagarajan;IND;4,5;0.0;1538.7;30.5;1756.4;4;4;0;0;
62;69;;Prieto Matias, Manuel;ESP;4,5;0.0;1494.4;26.0;1507.6;3;4;1560;1615;Extremadura
63;26;;Dawson, Alastair;SCO;4,0;0.0;1746.3;33.5;1581.4;3;5;1842;0;
64;48;;Lopez Heras, Arturo;ESP;4,0;0.0;1657.8;32.0;1546.8;2;4;1715;1755;Madrid
65;52;;Vicente Soriano, Josep;ESP;4,0;0.0;1656.1;35.0;1629.9;4;4;1713;1732;Cataluña
66;59;;Espejo Montagut, Jose Maria;ESP;4,0;0.0;1650.5;34.5;1676.1;4;4;1678;1694;Andalucía
67;29;;Izagirre Alsua, Aritz;ESP;4,0;0.0;1648.1;30.5;1525.1;3;4;1835;1848;País Vasco
68;93;;Morata Perez, Jose;ESP;4,0;0.0;1632.2;32.0;1603.9;3;5;1371;1401;Andalucía
69;66;;Arribas Lopez, Sara;ESP;4,0;0.0;1612.3;32.5;1707.4;3;4;1602;1680;Madrid
70;72;;Pesochinskiy, Stepan;ESP;4,0;0.0;1600.6;32.5;1772.9;2;5;1508;1564;Madrid
71;92;;Voronaya, Eva;FID;4,0;0.0;1524.2;30.5;1657.1;4;5;1379;0;
72;97;;Prieto Rol, Esther;ESP;4,0;0.0;1491.1;28.5;1623.9;2;5;1299;1318;Extremadura
73;82;;Such Palacios, Jose Miguel;ESP;4,0;0.0;1489.2;28.0;1584.9;4;4;1465;1485;Comunidad Valenciana
74;49;;Hassomal Daswani, Birjkumar;ESP;4,0;0.0;1481.9;31.0;1659.6;3;4;1715;1730;Comunidad Valenciana
75;111;;Henning Lubberding, Hans;IRL;4,0;0.0;1464.5;27.5;1644.2;3;3;0;0;
76;75;;Martinez Torres, Jose Manuel;ESP;4,0;0.0;1450.3;27.0;1517.8;3;5;1496;1544;FEDC
77;74;;Deiana, Giacomo;ITA;4,0;0.0;1366.0;24.0;1562.1;3;5;1498;0;
78;18;;Izquierdo Arruferia, Joseba;ESP;3,5;0.0;1700.8;33.5;1577.9;2;5;1887;1910;País Vasco
79;43;;Rumsey, Victor B;ENG;3,5;0.0;1643.3;33.5;1555.0;2;3;1758;0;
80;55;;Gerona Maura, Jesus;ESP;3,5;0.0;1616.8;31.0;1503.0;3;4;1690;1720;Comunidad Valenciana
81;41;;Hellmann, Thomas;GER;3,5;0.0;1612.7;30.0;1582.8;2;4;1771;0;
82;65;;Grindbakken, Erik;NOR;3,5;0.0;1544.1;30.0;1558.2;3;5;1606;0;
83;95;;Mateeva, Yana;BUL;3,5;0.0;1522.9;26.5;1583.4;3;5;1329;0;
84;94;;Munoz Gonzalez, Martin;ESP;3,5;0.0;1482.0;27.0;1623.1;3;4;1352;1386;FEDC
85;110;;Embuena Molina, Miguel Angel;ESP;3,5;0.0;1467.2;27.5;1577.5;3;4;0;0;Comunidad Valenciana
86;68;;Vegara Gallego, Pere;ESP;3,5;0.0;1461.0;24.0;1429.6;2;4;1573;1563;Cataluña
87;101;;Casadevall Mainau, Iraida;ESP;3,5;0.0;1417.9;23.0;1380.4;3;4;1212;1337;FEDC Cataluña
88;104;;Mabras Lloret, Monserrat;ESP;3,5;0.0;1366.1;23.5;1408.1;3;4;1202;1204;Comunidad Valenciana
89;56;;Albuixech Sanz, Jorge;ESP;3,0;0.0;1844.4;36.0;1556.2;3;4;1690;1698;Comunidad Valenciana
90;33;;Stokes, Paul C;ENG;3,0;0.0;1643.4;32.5;1647.2;2;3;1791;0;
91;83;;Quintana Ruiz, David;ESP;3,0;0.0;1551.8;30.5;1436.1;2;5;1460;0;Comunidad Valenciana
92;89;;Albuixech Soler, Sergi;ESP;3,0;0.0;1546.0;31.0;1654.6;3;3;1437;1466;Comunidad Valenciana
93;61;;Rico Garcia, Carlos;ESP;3,0;0.0;1535.6;28.0;1562.2;3;4;1649;1670;Comunidad Valenciana
94;100;;Mena Lena, Antonio;ESP;3,0;0.0;1506.2;29.0;1499.1;3;4;1226;1287;FEDC Extremadura
95;98;;Genis Traveria, Ferran;ESP;3,0;0.0;1449.6;25.0;1511.8;2;4;1293;1274;Cataluña
96;105;;Gomez Real, Maria Del Pilar;ESP;3,0;0.0;1401.1;22.5;1349.3;3;4;1185;1542;Comunidad Valenciana
97;77;;Vander Voort, Patrick;BEL;3,0;0.0;1390.1;24.5;1424.0;3;5;1488;0;
98;102;;Garcia Lorenzo, Jaime;ESP;3,0;0.0;1285.0;20.5;1336.2;3;4;1210;1243;FEDC
99;63;;Contreras Valle, Juan Carlos;ESP;2,5;0.0;1578.0;31.0;1552.0;2;5;1629;1643;Andalucía
100;87;;Verhoeven, Rudiger;ESP;2,5;0.0;1562.3;30.0;1759.7;2;4;1454;1473;Andalucía
101;71;;Kearsley, Raymond J;ENG;2,5;0.0;1529.0;28.5;1510.9;2;4;1548;0;
102;78;;Riera Mestres, Josep;ESP;2,5;0.0;1518.1;28.0;1530.3;1;4;1484;1498;Cataluña
103;91;;Perez Solanas, Hugo;ESP;2,5;0.0;1500.6;28.0;1568.4;2;5;1424;1265;Extremadura
104;88;;Garcia Diaz, Jose;ESP;2,5;0.0;1399.2;25.0;1451.4;2;5;1443;1465;FEDC
105;108;;Falcon Ibanez, Alicia;ESP;2,5;0.0;1330.6;22.5;1368.8;1;5;0;1212;La Rioja
106;109;;Dumanskyi, Matvii;UKR;2,5;0.0;1289.0;21.5;1337.9;2;4;0;0;
107;106;;Galletero Monsalve, Juan Francis;ESP;2,0;0.0;1429.4;27.0;1474.4;1;4;1077;1126;FEDC
108;99;;Ortega Moya, Juan Francisco;ESP;2,0;0.0;1388.6;25.0;1455.0;2;5;1290;1314;Comunidad Valenciana
109;103;;Ulla Centelles, Llorens;ESP;2,0;0.0;1367.7;21.0;1354.3;1;5;1205;1214;Comunidad Valenciana
110;96;;Jimenez Mahillo, David;ESP;2,0;0.0;1319.6;25.5;1398.7;2;5;1304;1372;FEDC Madrid
111;107;;Ledesma Ledesma, Jose Ignacio;ESP;1,0;0.0;1304.8;20.0;1332.2;1;4;1049;1087;FEDC País Vasco
112;90;;Rodriguez Dogmoch, Kyran;ESP;0,0;0.0;0.0;21.0;1797.0;0;0;1437;1444;Andalucía
113;81;;Milner, Romi;USA;0,0;0.0;0.0;21.0;0.0;0;0;1469;0;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BENIDORM CHESS OPEN “B” (U2000) - https://info64.org/benidorm-chess-open-b-u2000-1;;;;;;;;;;;;;;
