BENIDORM CHESS OPEN A;;;;;;;;;;;;;;;
Benidorm (Alicante), 2023-10-29 - 2023-11-05;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Clasificación   ;;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;DE1;APRO;BucM;ARO.;Mwns;MBlk;FIDE;Nac.;Origen/Club;Info
49;41;;Pedersen, Max Moe;NOR;3,5;0.0;2064.8;30.0;2093.2;2;5;2064;0;;H
50;43;;Bevia Martinez, Luis;ESP;3,5;0.0;2053.4;29.5;2098.9;2;5;2033;2032;;CV
51;25;;Mueller, Magnus;GER;3,5;0.0;2018.3;27.5;1964.3;3;4;2180;0;;H
52;56;;Wiesmann, Dominique;SUI;3,5;0.0;2004.1;25.5;2024.9;3;4;1940;0;;H
53;64;;Lilliehook, Victor;SWE;3,5;0.0;1979.9;25.5;2001.5;2;4;1852;0;;H
54;55;;Blanco Sanchez, Jose Fernando;ESP;3,5;0.0;1951.3;24.5;1956.0;1;4;1953;1993;;
55;66;;Szelag, Zuzanna;POL;3,5;0.0;1949.6;26.5;2054.1;2;4;1811;0;;H
56;49;;Unhjem, Bjorn Robert Lovoll;NOR;3,0;0.0;2108.3;34.0;2147.3;3;4;1990;0;;H
57;65;;Teply Koutsky, David;ESP;3,0;0.0;2028.3;28.5;2029.6;2;5;1833;1856;;H
58;60;;Ghita, Vlad-Bogdan;ROU;3,0;0.0;2004.8;27.5;2028.5;3;4;1914;0;;H
59;46;;Gonzalez Aguirre, Luis;ESP;3,0;0.0;1988.6;25.0;1921.4;1;5;2008;2014;;CVH
60;52;;Bascunana Sanchez, Pablo;ESP;3,0;0.0;1981.8;28.0;2078.8;2;4;1961;1971;;CV
61;63;;Gasland, Lukas Dominik;NOR;3,0;0.0;1973.6;25.5;1991.0;2;4;1867;0;;H
62;58;;Rutherford, William;SCO;3,0;0.0;1946.6;26.5;1993.8;1;4;1926;0;;H
63;67;;Halvorsen, Benjamin;NOR;2,5;0.0;2033.1;29.5;2024.9;1;4;1801;0;;H
64;59;WCM;Andrzejewska, Anna;POL;2,5;0.0;2018.9;26.0;2027.5;1;4;1918;0;;H
65;54;;Draghici Flutur, Gavril;ESP;2,5;0.0;2000.0;27.0;2038.7;2;3;1955;1972;;H
66;61;;Doll, Rebecca;GER;2,0;1.0;1978.8;25.0;2032.3;1;4;1896;0;;H
67;44;;Lopez Martinez, Jaime;ESP;2,0;0.0;2037.4;26.5;2008.9;2;4;2020;2033;;CV
68;2;GM;Richter, Michael;GER;0,0;0.0;0.0;21.0;0.0;0;0;2432;0;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BENIDORM CHESS OPEN A - https://info64.org/benidorm-chess-open-a;;;;;;;;;;;;;;;
