BENIDORM CHESS OPEN A,,,,,,,,,
"Benidorm (Alicante), 2023-10-29 - 2023-11-05",,,,,,,,,
,,,,,,,,,
Ranking inicial   ,,,,,,,,,
Ran.,Tít.,Nombre,Fed.,FIDE,Nac.,FIDE ID,ID Nac.,Origen/Club,Info
24,FM,"Nava Pereda, Carlos",ESP,2182,2176,2207419,533,,Euskadi
25,,"Mueller, Magnus",GER,2180,0,16230060,0,,
26,IM,"Mannion, Stephen R",SCO,2179,0,2400111,0,,
27,FM,"Krishnan, Ritvik",IND,2176,0,45055297,0,,
28,WGM,"Grabuzova, Tatiana",ESP,2173,2180,4108752,42391,,Comunidad Valenciana
29,,"Torres Rebolledo, Victor",ESP,2164,2190,24591629,32431,,Madrid
30,FM,"Roulet-Dubonnet, Emerik Vapensta",NOR,2164,0,1539477,0,,
31,,"Nied, Pascal",GER,2151,0,16260597,0,,
32,,"Castro Quijano, Eduardo",ESP,2127,2134,24507407,29579,,Asturias
33,,"Jordan Martinez, David",ESP,2120,2125,2283964,16353,,Comunidad Valenciana
34,,"Torres Rebolledo, Alvaro",ESP,2113,2135,54587670,37990,,Madrid
35,,"Horcajada Reales, Guillermo",ESP,2110,2139,2221470,12930,,Madrid
36,,"Palomo Teruel, Xavier",ESP,2094,2093,2202999,21471,,Cataluña
37,CM,"Uran Bermudez, Oliver Kevin",VEN,2083,2092,3903354,27254,,Comunidad Valenciana
38,,"Atienza Alvarez, Javier",ESP,2082,2088,24511668,29819,,Comunidad Valenciana
39,,"Floris, Federico",ITA,2081,0,898287,0,,
40,,"Holand, Per Fredrik",NOR,2069,0,1534084,0,,
41,,"Pedersen, Max Moe",NOR,2064,0,1532596,0,,
42,,"Sendra Tormo, Juan",ESP,2057,2050,32049072,27105,,Comunidad Valenciana
43,,"Bevia Martinez, Luis",ESP,2033,2032,2201216,91,,Comunidad Valenciana
44,,"Lopez Martinez, Jaime",ESP,2020,2033,32042043,40007,,Comunidad Valenciana
45,CM,"Mompel Ferruz, Xavier",ESP,2019,2033,54585775,36478,,Cataluña
46,,"Gonzalez Aguirre, Luis",ESP,2008,2014,2202000,981,,Comunidad Valenciana
47,,"Nesse, David",NOR,2005,0,1519875,0,,
48,,"Troffiguer, Olivier",FRA,1996,0,607835,0,,
49,,"Unhjem, Bjorn Robert Lovoll",NOR,1990,0,1525948,0,,
50,,"Fernandez Vazquez, Jorge",ESP,1970,1968,22222294,20140,,Canarias
51,,"Hernandez Tellez, Claudia",ESP,1969,1981,24542393,32695,,Andalucia
52,,"Bascunana Sanchez, Pablo",ESP,1961,1971,54701031,38041,,Comunidad Valenciana
53,,"Amundsen, Ask",NOR,1956,0,1528726,0,,
54,,"Draghici Flutur, Gavril",ESP,1955,1972,1206508,5829,,Cataluña
55,,"Blanco Sanchez, Jose Fernando",ESP,1953,1993,2203332,94,,Madrid
56,,"Wiesmann, Dominique",SUI,1940,0,1308262,0,,
57,FM,"Kandic, Milan",SRB,1927,0,926752,0,,
58,,"Rutherford, William",SCO,1926,0,2401045,0,,
59,WCM,"Andrzejewska, Anna",POL,1918,0,1127284,0,,
60,,"Ghita, Vlad-Bogdan",ROU,1914,0,1222198,0,,
61,,"Doll, Rebecca",GER,1896,0,16236890,0,,
62,,"Fox, Anthony",IRL,1883,0,2500736,0,,
63,,"Gasland, Lukas Dominik",NOR,1867,0,1557882,0,,
64,,"Lilliehook, Victor",SWE,1852,0,1752103,0,,
65,,"Teply Koutsky, David",ESP,1833,1856,24597171,33411,,Cataluña
66,,"Szelag, Zuzanna",POL,1811,0,1195522,0,,
67,,"Halvorsen, Benjamin",NOR,1801,0,1516604,0,,
68,,Daksh Jain,IND,1735,0,25969269,0,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BENIDORM CHESS OPEN A - https://info64.org/benidorm-chess-open-a,,,,,,,,,
