BENIDORM CHESS OPEN A 2025;;;;;;;
Benidorm (Alicante), 2025-10-26 - 2025-11-02;;;;;;;
;;;;;;;
Ranking inicial;;;;;;;
Ran.;Tít.;Nombre;Fed.;FIDE;FIDE ID;Origen/Club;Info
33;;Boyer Censore, Giuseppe Enmanuel;VEN;2127;3909085;Venezuela;PH
34;;Nicolas Zapata, Javier;ESP;2124;22247289;Raspeig;PCV
35;;Ramirez Maillo, Cristian;ESP;2112;32018746;Las Palmas;PH
36;;Farkash, Denys;UKR;2111;34178449;Ucrania;PH
37;;Bukharkov, Stepan;FID;2108;34346643;Xàbia;PCV
38;;Soriano Maya, Juan Pablo;ESP;2106;2207540;FACV;PHCV
39;;Albin Sajan;IND;2101;25198866;India;PH
40;;Deusa Ballesteros, Lucas;ESP;2101;54535964;Alaquàs;PHCV
41;;Martinez Cardenas, Sebastian Hor;VEN;2099;3908453;Venezuela;P
42;;Jankowiak, Piotr;POL;2093;1185250;Polonia;PH
43;;Segarra Victorio, Israel;ESP;2086;54788633;Ateneu Elx;PHCV
44;;Horcajada Reales, Guillermo;ESP;2084;2221470;Asturias;PH
45;WFM;Sunea, Sara Maria;ROU;2083;1288989;Rumanía;PH
46;;Munoz Osete, Marcos;ESP;2075;54542987;La Vila;PCV
47;;Draghici Flutur, Gavril;ESP;2074;1206508;ONCE;PH
48;;Sanchez Barbado, Carlos;ESP;2063;2273012;La Vila;PCV
49;;Koenig, Christian;GER;2061;4656997;Alemania;PH
50;;Racis, Michal;POL;2060;21886717;PZSZACH;PH
51;;Salvador Cabo, Cesar;ESP;2059;2240416;Madrid;PH
52;;Blanco Sanjuan, Jorge;ESP;2056;2213966;Madrid;P
53;;Abel Sajan;IND;2046;25198874;India;PH
54;;Sendra Tormo, Juan;ESP;2026;32049072;FACV;PHCV
55;CM;Sakulski, Bernard;ESP;2018;2278677;Galicia;PH
56;;Martin Rodriguez, Emilio;ESP;2018;2207915;Villaverde;PH
57;CM;Fernandez Manrique, Agustin;ESP;2013;2231000;ONCE;PH
58;;Ambru, Dan-Calin;ROU;2007;1223160;CS Atlas Sah;PH
59;;Martinez Gonzalez, Miguel A.;ESP;2004;32015631;CD En Jaque;P
60;;Nechifor, David;ESP;2002;54788455;La Vila;PCV
61;;Martin Martin, Luis Vicente;ESP;2000;2220300;Madrid;PH
62;;Peng, Tianlu;CHN;1990;8605220;China;PH
63;;Jess Ruchandani;IND;1967;25974300;India;P
64;;Munoz Suarez, Luis Alberto;ESP;1964;2287820;Zaragoza;PH
65;;Ramirez Maillo, Juan Adonay;ESP;1963;22299459;Telde;PH
66;;Bara, Jan;CZE;1962;23716150;República Checa;PH
67;;Olivera Gutierrez, Albert;ESP;1953;2230070;ONCE;PH
68;;Troffiguer, Olivier;FRA;1950;607835;Francia;PH
69;;Zanoletty Garcia, David;ESP;1934;2219743;ONCE;PH
70;;O`Neill Y Daneiko, Jose Antonio;ESP;1924;2237733;Gambito-Benimaclet;PHCV
71;;Paarshva Parmar;IND;1922;33440344;India;PH
72;;Fox, Anthony;IRL;1921;2500736;Irlanda;PH
73;CM;Safin Safarullakhan;UAE;1915;33379475;India;PH
74;;Rustan, Elias Buschmann;NOR;1907;1541030;Noruega;PH
75;;Siddharth, Sai;SGP;1905;5823404;Singapur;PH
76;;Cafolla, Peter;IRL;1902;2500884;Irlanda;PCV
77;;Williams, Duncan;WLS;1897;1805592;Gales;PH
78;;Marquinez Cabrejas, Francisco J.;ESP;1894;2209721;País Vasco;PH
79;;Migala, Andrzej;POL;1892;1119052;PZSZACH;PH
80;;Witter, Jannes;GER;1881;16246950;Alemania;PH
81;;Borecky, Andrej;CZE;1858;23752670;República Checa;PH
82;;Dudarec, Elias;CZE;1846;23714930;República Checa;PH
83;WCM;Yasaswi Krishna Bommi;IND;1844;33368783;India;PH
84;;Stuhaug, Raphael Iglesisas;NOR;1839;1555375;Noruega;PH
85;;Basualdo De Ornelas, Jorge;POR;1826;1935364;Las Palmas;PH
86;;Gawle, Ireneusz;POL;1823;1157329;Polonia;PH
87;;Lukasiewicz, Ignacy;POL;1812;91105889;PZSZACH;PH
88;;Vollheim, Daniel O;NOR;1808;1569520;Noruega;PH
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
BENIDORM CHESS OPEN A 2025 - https://info64.org/benidorm-chess-open-a-2025;;;;;;;
